epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.243,1.27335,6.28375,1.99972,0.04215,0.99686,0.15436,0.14013,0.92213,5.7763,1.59873,0.00013336,0.00013336,0.00013336
2,257.442,1.12984,4.7118,1.83363,0.0395,1,0.45744,0.40647,0.91305,5.6291,1.58781,0.000277779,0.000277779,0.000277779
3,374.526,1.07368,3.7369,1.79074,0.04074,1,0.49746,0.43099,1.10211,5.53057,1.63449,0.000416257,0.000416257,0.000416257
4,475.312,1.08509,3.07764,1.80331,0.03886,1,0.5504,0.49485,0.97903,5.16497,1.58745,0.000548793,0.000548793,0.000548793
5,579.545,1.10755,2.69716,1.82933,0.03776,0.99686,0.42024,0.3644,1.16982,5.00209,1.64986,0.000675388,0.000675388,0.000675388
6,681.228,1.10986,2.51581,1.81628,0.45381,0.26723,0.35146,0.30423,1.07153,5.09829,1.70978,0.000796043,0.000796043,0.000796043
7,775.54,1.0619,2.31103,1.80305,0.45856,0.62888,0.60273,0.53319,1.10234,4.13717,1.65305,0.000910755,0.000910755,0.000910755
8,894.477,1.05996,2.17424,1.80064,0.67937,0.21326,0.56112,0.48903,1.0263,4.0156,1.65892,0.00101953,0.00101953,0.00101953
9,988.874,1.06781,2.0499,1.78998,0.74946,0.40688,0.60251,0.54029,0.98524,3.86294,1.6339,0.00112236,0.00112236,0.00112236
10,1095.93,1.01539,1.84752,1.76386,0.73284,0.61117,0.71161,0.63834,0.97474,3.02943,1.62095,0.00121925,0.00121925,0.00121925
11,1186.81,1.08121,1.81882,1.78723,0.68554,0.60984,0.62191,0.55466,0.99798,2.93226,1.63813,0.0013102,0.0013102,0.0013102
12,1278.14,1.06208,1.85947,1.77247,0.70593,0.64144,0.69179,0.62727,0.9493,2.65334,1.60852,0.00130393,0.00130393,0.00130393
13,1365.68,1.00103,1.75367,1.73154,0.71433,0.69398,0.69756,0.61893,1.03772,2.47696,1.60228,0.00127092,0.00127092,0.00127092
14,1453.99,1.08712,1.82252,1.75507,0.71509,0.76938,0.78332,0.67548,1.11825,2.19098,1.61378,0.00123791,0.00123791,0.00123791
15,1539.96,1.01218,1.70297,1.7328,0.66146,0.70767,0.64489,0.5692,0.98535,2.50738,1.59679,0.00120491,0.00120491,0.00120491
16,1627.57,0.97175,1.65943,1.73077,0.78162,0.79387,0.83799,0.76559,0.85957,1.78834,1.57257,0.0011719,0.0011719,0.0011719
17,1712.32,0.93781,1.64487,1.7437,0.72982,0.74221,0.81884,0.74434,0.83913,1.89591,1.58864,0.00113889,0.00113889,0.00113889
18,1799.64,0.94228,1.59094,1.7334,0.6556,0.70053,0.69696,0.63729,0.84826,2.2998,1.59053,0.00110589,0.00110589,0.00110589
19,1884.75,0.93055,1.50939,1.73345,0.75185,0.75432,0.83264,0.76602,0.80841,1.92618,1.59818,0.00107288,0.00107288,0.00107288
20,1971.04,0.89294,1.47812,1.71475,0.73264,0.69165,0.69966,0.65244,0.78288,2.46735,1.56702,0.00103987,0.00103987,0.00103987
21,2055.66,0.88474,1.41771,1.69827,0.77872,0.74296,0.78743,0.72282,0.82914,2.04475,1.55933,0.00100687,0.00100687,0.00100687
22,2139.98,0.89387,1.40255,1.71747,0.84709,0.79673,0.87155,0.80859,0.77178,1.52867,1.54911,0.000973861,0.000973861,0.000973861
23,2225.79,0.88923,1.34516,1.70435,0.82885,0.79344,0.87606,0.81724,0.77768,1.5821,1.5539,0.000940855,0.000940855,0.000940855
24,2310.02,0.88577,1.31746,1.69901,0.74186,0.64608,0.67073,0.62134,0.74711,2.57254,1.5571,0.000907848,0.000907848,0.000907848
25,2393.94,0.88785,1.31137,1.70542,0.71875,0.78886,0.78596,0.73546,0.74457,1.83542,1.56227,0.000874842,0.000874842,0.000874842
26,2481.4,0.87218,1.28413,1.6932,0.72165,0.80808,0.8286,0.76857,0.78645,1.65941,1.56453,0.000841835,0.000841835,0.000841835
27,2566.02,0.86138,1.31547,1.69669,0.70136,0.88644,0.86391,0.80945,0.73297,1.52056,1.55515,0.000808828,0.000808828,0.000808828
28,2652.4,0.86269,1.29688,1.70738,0.75188,0.85694,0.86166,0.80914,0.72539,1.46801,1.55121,0.000775822,0.000775822,0.000775822
29,2737.97,0.82243,1.17708,1.67798,0.78313,0.84387,0.85444,0.806,0.69713,1.45504,1.5388,0.000742815,0.000742815,0.000742815
30,2822.58,0.842,1.18127,1.68859,0.75122,0.83031,0.8354,0.78638,0.70342,1.51382,1.53694,0.000709809,0.000709809,0.000709809
31,2906.87,0.83747,1.13205,1.68004,0.79485,0.79269,0.84061,0.78968,0.70317,1.49758,1.54649,0.000676802,0.000676802,0.000676802
32,2991.11,0.81224,1.12336,1.67724,0.78883,0.77053,0.83243,0.77751,0.72265,1.62936,1.55126,0.000643795,0.000643795,0.000643795
33,3075.27,0.8152,1.1269,1.68072,0.76675,0.78364,0.83187,0.77392,0.73031,1.61159,1.54879,0.000610789,0.000610789,0.000610789
34,3159.74,0.81518,1.12492,1.67324,0.75356,0.78476,0.77744,0.7173,0.80307,1.76129,1.56765,0.000577782,0.000577782,0.000577782
35,3243.56,0.80806,1.13301,1.68734,0.76427,0.83783,0.8216,0.76681,0.73504,1.5491,1.55506,0.000544776,0.000544776,0.000544776
36,3326.43,0.821,1.14416,1.70352,0.80847,0.86615,0.89319,0.83308,0.7685,1.31235,1.55966,0.000511769,0.000511769,0.000511769
37,3412.07,0.83002,1.10502,1.68569,0.84164,0.84083,0.89346,0.83711,0.72529,1.30367,1.5557,0.000478762,0.000478762,0.000478762
38,3507.64,0.81269,1.07558,1.68227,0.7922,0.83525,0.87842,0.82968,0.69097,1.33462,1.54838,0.000445756,0.000445756,0.000445756
39,3599.05,0.79101,1.05805,1.6741,0.73508,0.8682,0.85215,0.80076,0.71874,1.48961,1.54901,0.000412749,0.000412749,0.000412749
40,3683.8,0.77513,0.98491,1.67571,0.8399,0.85042,0.89974,0.85787,0.66545,1.22914,1.54076,0.000379743,0.000379743,0.000379743
41,3764.86,0.69966,1.15206,1.61964,0.84717,0.84395,0.90625,0.8587,0.68222,1.2442,1.54175,0.000346736,0.000346736,0.000346736
42,3846.85,0.70799,1.11741,1.61428,0.83132,0.81068,0.87222,0.82864,0.67395,1.40068,1.53031,0.000313729,0.000313729,0.000313729
43,3928.74,0.70965,1.03599,1.61054,0.81862,0.87472,0.88709,0.83853,0.68549,1.30153,1.53085,0.000280723,0.000280723,0.000280723
44,4012.73,0.69995,1.03186,1.59768,0.81487,0.85597,0.89474,0.84965,0.67465,1.34581,1.52986,0.000247716,0.000247716,0.000247716
45,4094.25,0.69225,1.01841,1.59704,0.80716,0.88193,0.8928,0.85151,0.658,1.35423,1.53037,0.00021471,0.00021471,0.00021471
46,4173.86,0.68309,1.00801,1.61128,0.81344,0.87369,0.90449,0.86196,0.66299,1.27943,1.53217,0.000181703,0.000181703,0.000181703
47,4254.55,0.68329,1.00209,1.60926,0.84846,0.8709,0.91539,0.87093,0.64565,1.22736,1.53782,0.000148696,0.000148696,0.000148696
48,4336.08,0.68325,0.96666,1.60076,0.84674,0.87577,0.92481,0.88212,0.63698,1.16854,1.53738,0.00011569,0.00011569,0.00011569
49,4416.57,0.6699,0.92599,1.60508,0.84793,0.88622,0.92453,0.88471,0.63966,1.16608,1.53758,8.26832e-05,8.26832e-05,8.26832e-05
50,4496.88,0.66955,0.9388,1.59555,0.84618,0.89023,0.9198,0.87803,0.64447,1.18325,1.53821,4.96766e-05,4.96766e-05,4.96766e-05
